category_id,views,likes,dislikes,comments_disabled,ratings_disabled,is_weekend
1,1096327,33966,798,False,False,True
25,590101,735,904,True,False,False
24,473988,2011,243,False,False,True
23,1242680,70353,1624,False,False,True
24,464015,492,293,False,False,False
24,6106669,98612,4185,False,False,False
10,5718766,127477,7134,False,False,True
10,10588371,132738,8812,False,False,True
24,118223,520,53,False,False,False
24,969030,59798,1545,False,False,True
24,632747,4330,2183,False,False,True
10,2348107,32834,710,False,False,True
25,156085,716,53,True,False,False
24,472413,2611,250,False,False,True
10,836006,24460,180,False,False,True
22,89531,238,59,False,False,False
23,344545,25717,417,False,False,False
1,35885754,829362,61195,False,False,False
23,209599,14070,448,False,False,True
24,2418783,97187,6146,False,False,False
24,2294242,14960,1361,False,False,True
22,1956925,9504,938,False,False,False
24,387221,2159,1214,False,False,False
19,176472,588,52,False,False,True
28,238637,7975,368,False,False,False
25,85432,114,91,False,False,True
1,249423,7861,68,False,False,True
24,256199,318,123,False,False,False
27,137438,3926,249,False,False,True
24,261202,1971,126,False,False,True
24,655660,8505,868,False,False,True
24,423009,1514,347,False,False,False
25,33533,0,0,False,True,False
25,75834,160,15,False,False,True
24,156063,5406,534,False,False,True
10,1287771,52194,253,False,False,True
10,56430,244,94,False,False,False
24,793778,21956,1590,False,False,True
23,309490,1560,200,False,False,True
24,334780,1307,230,False,False,True
25,23932,0,0,False,True,False
24,54861,247,20,False,False,False
24,1174353,20095,2517,False,False,False
24,127517,3676,381,False,False,False
24,255707,2267,121,False,False,False
22,97522,838,189,False,False,True
24,692359,2523,618,False,False,True
27,47352,2240,31,False,False,False
25,114466,1580,163,False,False,False
22,109594,790,189,False,False,True
27,103239,7191,91,False,False,True
24,150806,1311,508,False,False,True
24,170707,1152,178,False,False,False
26,77888,889,75,False,False,False
23,779856,14281,490,False,False,False
24,154502,543,15,False,False,False
43,433053,938,298,False,False,True
22,1025941,6019,234,False,False,False
10,1449239,120289,3108,False,False,False
25,93662,33,5,False,False,False
1,696515,12397,449,False,False,False
26,74888,663,71,False,False,False
26,3153224,28450,2285,False,False,True
23,162637,1302,228,False,False,True
10,544102,13384,438,False,False,False
25,52312,547,25,False,False,False
24,90826,104,85,False,False,False
27,23114,0,0,True,True,False
25,357019,2487,219,False,False,True
24,117022,466,135,False,False,False
25,32811,48,27,False,False,False
24,263844,9983,677,False,False,False
25,202926,2057,244,False,False,True
22,1353040,53866,1111,False,False,False
26,24700,360,30,False,False,False
25,24276,1,1,False,False,True
24,58675,226,23,False,False,False
26,73579,2095,84,False,False,False
22,65054,349,28,True,False,True
24,132421,3509,89,False,False,True
